"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Parametric Optimization of a Second Order Time Delay System with a PD-Controller","J. Duda","Department of Automatic Control and Robotics, AGH University of Science and Technology, Krakow, Poland","2019 20th International Carpathian Control Conference (ICCC)","","2019","","","1","5","The article addresses the parametric optimization problem for time delay system of second order with a PD controller. In the paper is considered the performance index of integral of squared error. The index value is equal to the value of the quadratic Lyapunov functional at initial function. One determines the quadratic Lyapunov functional of time delay system using the Lyapunov matrix. In the article the optimization outcomes for varies values of delay and for varies damping factor are given.","","978-1-7281-0702-8","10.1109/CarpathianCC.2019.8766053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8766053","time delay system;Lyapunov matrix;Lyapunov functional;parametric optimization","Delay effects;Delays;Mathematical model;Optimized production technology;Indexes;Damping","damping;delay systems;delays;Lyapunov matrix equations;optimisation;PD control;performance index","second order time delay system;PD-controller;parametric optimization problem;quadratic Lyapunov functional;Lyapunov matrix;performance index;damping factor","","","15","","","","","IEEE","IEEE Conferences"
"Tree Structure Based Algorithm for Multiobjective Optimization of Switch Allocation in Radial Distribution Networks","Z. Galias","Department of Electrical and Power Engineering, AGH University of Science and Technology, Kraków, Poland","2019 IEEE PES GTD Grand International Conference and Exposition Asia (GTD Asia)","","2019","","","837","841","Reducing the consequences of outages in power distribution networks can be achieved by the installation of sectionalizing switches, which may be activated to isolate faulty elements. Positions of sectionalizing switches are usually selected to minimize a given reliability factor. In general, optimization of one of the reliability factors is not equivalent to the minimization of other factors. An optimization algorithm to solve the problem of the optimal switch placement to simultaneously minimize several reliability factors is presented. The algorithm is designed for single-feeder distribution networks with a radial topology. The performance of the algorithm is assessed using an existing distribution network of a moderate size.","","978-1-5386-7434-5","10.1109/GTDAsia.2019.8715939","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8715939","distribution network;multiobjective optimization;reliability index;sectionalizing switch","Switches;Optimization;Linear programming;Reliability;Indexes;Minimization;Power systems","optimisation;power distribution reliability;power engineering computing;tree data structures","multiobjective optimization;switch allocation;radial distribution networks;power distribution networks;sectionalizing switches;faulty elements;reliability factors;minimization;optimal switch placement;single-feeder distribution networks;radial topology;tree structure based algorithm","","","14","","","","","IEEE","IEEE Conferences"
"On optimum placement of sectionalizing switches in radial distribution networks","Z. Galias","AGH University of Science and Technology, Department of Electrical and Power Engineering, al. Mickiewicza 30, 30-059 Kraków, Poland","2017 IEEE International Symposium on Circuits and Systems (ISCAS)","","2017","","","1","4","We study the problem of optimum placement of sectionalizing switches in radial distribution networks to minimize the average undelivered energy due to power outages. We show that existing algorithms do not guarantee finding the optimum solution. We present a fast tree structure based method for the computation of the average undelivered energy and an efficient algorithm to find the optimum allocation of switches to minimize the undelivered energy. The performance of algorithms is tested using an example radial distribution network.","2379-447X","978-1-4673-6853-7","10.1109/ISCAS.2017.8050510","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8050510","","Heuristic algorithms;Optimization;Generators;Power system reliability;Algorithm design and analysis;Resource management;Greedy algorithms","power distribution planning;power distribution reliability;trees (mathematics)","optimum placement;sectionalizing switches;radial distribution networks;power outages;optimum solution;fast tree structure based method","","2","10","","","","","IEEE","IEEE Conferences"
"Microlens array calibration method for a light field camera","P. Suliga; T. Wrona","Department of Process Control, AGH University of Science and Technology, Krakow, Poland; Active Safety Algorithm Development Group, Aptiv, Krakow, Poland","2018 19th International Carpathian Control Conference (ICCC)","","2018","","","19","22","This paper presents a methodology and mathematical foundation for the calibration of the microlens array position used in light field cameras. The accurate estimation of optical system parameters is crucial for performing a 4D light field reconstruction based on 2D camera intensity images. The method presented in this paper allows the calculation of four distinct parameters which characterize the microlens array position: microlens pitch, rotational offset and translational offsets in two directions. All of the parameters are calculated with relation to the image sensor of a camera. The calibration procedure involves capturing a single image of an evenly illuminated, plain white surface. The center point of each lenslet is assessed using a center-of-gravity method, and the obtained coordinates are then used to calculate the parameter values as a solution for non-linear optimization problems in least squares sense.","","978-1-5386-4762-2","10.1109/CarpathianCC.2018.8399595","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8399595","calibration;light field;microlens;plenoptic camera","Cameras;Lenses;Microoptics;Calibration;Photography;Image sensors;Interpolation","calibration;cameras;image reconstruction;image sensors;least squares approximations;microlenses;microsensors;nonlinear programming;optical arrays;optical sensors;parameter estimation;position measurement;sensor arrays","image sensor;center-of-gravity method;light field camera;mathematical foundation;4D light field reconstruction;optical system parameter estimation;microlens array position calibration method;2D camera intensity imaging;rotational offset;translational offsets;nonlinear optimization problems;least square method","","","7","","","","","IEEE","IEEE Conferences"
"Numerical simulation of dental implant insertion process","N. Jaworski; M. Iwaniec","CAD Department, Lviv Polytechnic National University, UKRAINE; Process Control Department, AGH University of Science and Technology in Kraków, POLAND","2017 XIIIth International Conference on Perspective Technologies and Methods in MEMS Design (MEMSTECH)","","2017","","","59","61","The paper presents the results of the numerical simulation by finite element method of dental implant insertion into mandible.","","978-1-5386-4001-2","10.1109/MEMSTECH.2017.7937533","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7937533","Finite element method;Dental implant;Insertion process","Implants;Finite element analysis;Dentistry;Stress;Bones;Numerical simulation;Numerical models","bone;dentistry;finite element analysis;prosthetics","dental implant insertion process;finite element method;mandible","","1","12","","","","","IEEE","IEEE Conferences"
"Integrated magnetic element for improving efficiency of LLC resonant converter","C. Worek; S. Ligenza","AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY, 30 Mickiewicza Av., Krakow, Poland; FIDELTRONIK POLAND, Cystersow 19 St., Krakow, Poland","2017 19th European Conference on Power Electronics and Applications (EPE'17 ECCE Europe)","","2017","","","P.1","P.7","This paper presents a design and construction of an integrated magnetic element IME to achieve high efficiency and high power density in 1250 W LLC resonant converter. Superposition of two magnetic inductions oriented antiparallelly in the chosen areas of IME allows reduction of the volume required for inductive elements, increased coefficient of transferred power to volume [W/dm3] and reduction of parasitic capacitances.","","978-90-75815-27-6","10.23919/EPE17ECCEEurope.2017.8099091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8099091","ZVS converters;Converter circuit;DC power supply;Magnetic device;Resonant converter","Magnetic cores;Magnetic resonance;RLC circuits;Magnetic circuits;Magnetic hysteresis;Windings;Inductors","electromagnetic induction;resonant power convertors","LLC resonant converter;high power density;magnetic inductions;inductive elements;transferred power;integrated magnetic element;IME;parasitic capacitances;power 1250.0 W","","2","9","","","","","IEEE","IEEE Conferences"
"Classification of Karate Kicks with Hidden Markov Models Classifier and Angle-Based Features","T. Hachaj; M. R. Ogiela","Institute of Computer Science, Pedagogical University of Cracow, Cracow, Poland; Cryptography and cognitive Informatics Research Group, AGH University of Science and Technology, Cracow, Poland","2018 11th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)","","2018","","","1","5","Human actions classification is important task of modern vision-based and sensor-based motion capture (MoCap) systems. This research is part of our project on human action recognition and analysis aiming especially at sport and rehabilitation activities. We proposed a HMM classifier with angle-based features to recognize various types of karate kicks. We examine various number of hidden states and number of dimensions reduced by Principal Component Analysis (PCA). In contrary to the previously published researches we want to design a classifier capable to recognize very similar (in the sense of spatial trajectories) human actions recorded by precise motion capture hardware. The best classification results with total recognition rate 0.92 was obtained for HMM with 7 hidden states (without dimensionality reduction), and for 6 hidden states after reducing number of dimensions with PCA to 5. Both the complete dataset and source code we used in this research can be downloaded to reproduce the research results.","","978-1-5386-7604-2","10.1109/CISP-BMEI.2018.8633251","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8633251","Hidden Markov Models;Human actions classification;Principal Components Analysis;Karate","Hidden Markov models;Principal component analysis;Dimensionality reduction;Trajectory;Hardware;Legged locomotion;Task analysis","computer vision;feature extraction;hidden Markov models;image classification;image motion analysis;principal component analysis;sport","rehabilitation activities;HMM classifier;angle-based features;precise motion capture hardware;human actions classification;human action recognition;sport;source code;sensor-based motion capture systems;vision-based motion capture systems;hidden Markov models classifier;karate kicks classification;principal component analysis","","","14","","","","","IEEE","IEEE Conferences"
"An algorithm for evaluating inter- and intra-observer variability of boundary delineation providing local information about deviation for anisotropic image data","A. Skalski","AGH University of Science and Technology, Department of Measurement and Electronics, PL30059 Al. Mickiewicza 30, Krakow, Poland","2017 IEEE International Conference on Imaging Systems and Techniques (IST)","","2017","","","1","5","Quality assessment of segmentation algorithms is not a simple task. A comparison between a manual outline of an expert and segmentation results, widely used in most cases, appears to be insufficient. Taking into account the lack of reproducibility of the outlines made by experts, it is necessary to thoroughly analyze both inter- and intra-observer variability. To meet these requirements, the article proposes a new evaluation method for inter- and intra-observer variability of boundary delineation. The algorithm is based on three-dimensional signed Euclidean Distance Transformation. It allows to provide local information (for each point of the outline) about manual outlines deviation. The algorithm manages anisotropic image data such as magnetic resonance (MR) or computed tomography (CT) images. It can also be used for complex, non-convex structures. In addition, a method of selection the most reliable outline is proposed. The effectiveness of the proposed approach is assessed by examining the boundary deviation of anatomical structures in CT data. Finally, a quantitative analysis of the manual outlines in various schemes for a kidney and a femur are presented.","","978-1-5386-1620-8","10.1109/IST.2017.8261548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8261548","inter- and intra-observer variability;segmentation;validation;Euclidean Distance Transform;data anisotropy;gold standard","Computed tomography;Kidney;Image segmentation;Manuals;Euclidean distance;Standards;Biomedical imaging","computerised tomography;image segmentation;medical image processing","boundary delineation;three-dimensional signed Euclidean Distance Transformation;anisotropic image data;boundary deviation;CT data;segmentation algorithms;anatomical structures;kidney;femur;medical image segmentation","","","15","","","","","IEEE","IEEE Conferences"
"Image and video processing with tensor methods","B. Cyganek","Department of Electronics, Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland","2017 Signal Processing: Algorithms, Architectures, Arrangements, and Applications (SPA)","","2017","","","16","16","Classical methods for processing and analysis of multidimensional signals - such as color videos and hyperspectral images - do not exploit full information contained in inner their factors. On the other hand, recently developed tensor based methods allow for data representation and analysis which directly account for data multidimensionality. Examples can be found in many applications such as face recognition, image synthesis, video analysis, surveillance systems, sensor networks, data stream analysis, marketing and medical data analysis, to name a few. This talk will be focused on presentation of the basic ideas, as well as recent achievements, in the domain of tensor based signal processing. A systematic overview of tensor data representation, tensor decompositions, as well as pattern recognition with tensors will be presented. Practical aspects and tensor implementation issues will be also discussed.","2326-0319","978-83-62065-30-1","10.23919/SPA.2017.8166829","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8166829","","Tensile stress;Consumer electronics;Signal processing algorithms;Computer science;Streaming media;Pattern recognition;Digital images","face recognition;tensors;video signal processing;video surveillance","pattern recognition;tensor decompositions;tensor data representation;tensor based signal processing;data stream analysis;sensor networks;surveillance systems;video analysis;image synthesis;face recognition;data multidimensionality;hyperspectral images;color videos;multidimensional signals;video processing","","","","","","","","IEEE","IEEE Conferences"
"Relief F-Based Feature Ranking and Feature Selection for Monitoring Induction Motors","A. Stief; J. R. Ottewill; J. Baranowski","ABB Corporate Research Center, ul. Starowislna 13a, Krakow, 31-038, Poland; ABB Corporate Research Center, ul. Starowislna 13a, Krakow, 31-038, Poland; Faculty of Electrical Engineering, Automatics, Computer Science and Biomedical Engineering, AGH University of Science and Technology, Department of Automatic Control and Robotics, Al. A. Mickiewicza 30, Krakow, 30-059, Poland","2018 23rd International Conference on Methods & Models in Automation & Robotics (MMAR)","","2018","","","171","176","A feature is a measured property of a monitored system. Feature extraction in condition monitoring requires domain knowledge about a system and its possible fault cases. To find the most sensitive features for fault patterns, one has to evaluate the relevancy of features. In this paper the authors use ReliefF, which is a K-nearest neighbors-based feature selection algorithm, to evaluate the features extracted from an induction motor dataset. The dataset contains data from eight different health states of an induction motor. Feature relevancy is calculated for each health state. The selected features are fed into a simple Bayesian binary classifier to calculate the most likely health state. The method provides insight into the relevance of features by sensor type and also by signal processing type. The evaluation of similarity among the selected features can help identify similar faults. The results obtained emphasize the importance of domain knowledge in the proper design of features. Furthermore, by considering experimental data obtained for multiple loading and noise conditions, the feature selection method indicates features which are best suited for diagnosing specific faults, regardless of external conditions. Such information can support the creation of robust monitoring systems.","","978-1-5386-4325-9","10.1109/MMAR.2018.8486097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8486097","Feature selection;Relief;Bayesian classifier;Induction motors;Diagnostics;Condition monitoring","Feature extraction;Induction motors;Training;Monitoring;Classification algorithms;Bayes methods;Condition monitoring","Bayes methods;condition monitoring;fault diagnosis;feature extraction;induction motors;pattern classification;signal processing","feature extraction;condition monitoring;domain knowledge;fault patterns;K-nearest neighbors-based feature selection algorithm;induction motor dataset;feature relevancy;health state;robust monitoring systems;relief F-based feature ranking;induction motors monitoring;signal processing","","","16","","","","","IEEE","IEEE Conferences"
"HoneyV: A virtualized honeynet system based on network softwarization","B. Rashidi; C. Fung; K. W. Hamlen; A. Kamisinski","Department of Computer Science, Virginia Commonwealth University, Richmond, VA, USA; Department of Computer Science, Virginia Commonwealth University, Richmond, VA, USA; Department of Computer Science, The University of Texas at Dallas, Richardson, TX, USA; Department of Telecommunications, AGH University of Science and Technology, Kraków, Poland","NOMS 2018 - 2018 IEEE/IFIP Network Operations and Management Symposium","","2018","","","1","5","Intrusion detection in modern enterprise networks faces challenges due to the increasing large volume of data and insufficient training data for anomaly detections. In this work, we propose a novel network topology for improved intrusion detection through multi-phase data monitoring system. Rather than the all-or-nothing approach to terminate all sessions identified as suspicious, the topology route traffic to different servers replicas with different monitoring intensity level based on their likelihood of attacks. This topology leverages recent advances in software-defined networking (SDN) to dynamically route such sessions into risk-appropriate computing environments. These environments offer enhanced training opportunities intrusion detection systems (IDSes) by exposing data streams that would not have been observable had the session merely been terminated at the first sign of maliciousness. They also afford defenders finer- grained risk management by supporting a continuum of endpoint environments, ranging from fully trusted, to semi-trusted, to fully untrusted, for example.","2374-9709","978-1-5386-3416-5","10.1109/NOMS.2018.8406205","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406205","","Servers;Monitoring;Sensors;Intrusion detection;Control systems;Network topology","computer network management;learning (artificial intelligence);risk management;security of data;software defined networking;telecommunication network routing;telecommunication network topology;telecommunication traffic;virtualisation","HoneyV;virtualized honeynet system;network softwarization;anomaly detections;multiphase data monitoring system;topology route traffic;software-defined networking;risk-appropriate computing environments;enhanced training opportunities intrusion detection systems;enterprise networks;network topology;intrusion detection system;data streaming;intensity level monitoring;SDN;IDSe;risk management","","","6","","","","","IEEE","IEEE Conferences"
"Multicriteria Coordination of Flood Control in Water Reservoir Systems","A. M. J. Skulimowski","AGH University of Science & Technology, Decision Sciences Laboratory, Kraków, Poland","2019 24th International Conference on Methods and Models in Automation and Robotics (MMAR)","","2019","","","296","301","This paper presents an application of the reference multifunction method to design decision support systems dedicated to selecting optimal reservoir control strategies in case of a flood emergency. We assume that in the region endangered by the flood, there are several water reservoirs, each with a separate direction, economical goals, and protection subregion. Reservoirs on the same river may form subsystems with common goals. We investigate a frequent case where all reservoirs are situated on feeders while the flood wave on the recipient between and beneath the feeder mouths can be controlled by a coordinated release of water from the reservoirs. The reservoirs' own protection regions do not include the recipient's valley. Flood damage is minimized by a suitable dynamic multicriteria coordination with the environmental, financial and human life protection-related criteria. The coordinating decision center assures that the values of the individual reservoir criteria are non-dominated and belong to a given reference set. The latter can be interpreted as acceptable values of criteria on a certain subinterval of the control period. We provide an approach to finding a non-dominated trajectory of the overall reservoir system that fulfils the above coordinator's demands. We also describe the architecture of the decision support system capable of solving the coordination problem in real-time. A real-life example of finding a flood-control strategy for the reservoir system in the Upper Vistula basin in Poland will be presented.","","978-1-7281-0933-6","10.1109/MMAR.2019.8864657","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8864657","multicriteria optimal control;decision support systems;temporal preferences;reference multifunction;water reservoir systems;flood control","Reservoirs;Floods;Rivers;Decision support systems;Trajectory;Real-time systems","floods;hydrological techniques;reservoirs;rivers","water reservoir systems;reference multifunction method;decision support system;optimal reservoir control strategies;flood emergency;water reservoirs;economical goals;protection subregion;frequent case;flood wave;feeder mouths;flood damage;suitable dynamic multicriteria coordination;environmental life protection-related criteria;financial life protection-related criteria;human life protection-related criteria;coordinating decision center;individual reservoir criteria;control period;reservoir system;coordination problem;flood-control strategy;river;Upper Vistula basin;Poland","","","12","","","","","IEEE","IEEE Conferences"
"Spin-Transfer-Driven Dynamics of Magnetic Vortices and Antivortices in Dots With Crystalline Cubic Anisotropy","A. Janutka; P. Gawroński","Department of Theoretical Physics, Faculty of Fundamental Problems of Technology, Wroclaw University of Science and Technology, Wrocław, Poland; Faculty of Physics and Applied Computer Science, AGH University of Science and Technology, Krakow, Poland","IEEE Transactions on Magnetics","","2017","53","11","1","6","We study the magnetization dynamics of a vortex- or antivortex-containing nanodot driven by an out-of-plane polarized electric current within micromagnetic simulations. The dot is an ultra-thin structure created using a material with strong crystalline cubic anisotropy. It is in-plane ordered with an effective fourfold anisotropy. In the case of the antivortex, we consider astroid-shaped dots, while in the case of the vortex, the circular dots and the astroid-shaped ones. Unlike in the soft-magnetic dots, the vortex (antivortex) textures in thin layers with sufficiently strong fourfold anisotropy consist of four closure domains independent of the dot shape. The magnetization in the domain walls (DWs) deviates from the dot plane under the action of the out-of-plane polarized electric current normal to the dot, which drives the DW propagation-a rotation of the texture around the vortex (antivortex) center. The DW velocity is dependent on the distance from the vortex (antivortex) core; thus, the DWs deform under the current creating a fourfold spiral shape. For sufficiently hard cubic magnets, we find a regime of the oscillatory dynamics of the dot [a cyclic switching between the spiral state and the closure-domain vortex (antivortex) state]. For softer magnets, we consider a spin-transfer-driven fast magnetization reversal of the vortex state mediated by the creation of the spiral state.","1941-0069","","10.1109/TMAG.2017.2710308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7937928","Magnetic domain wall (DW);magnetic vortex;spin-transfer oscillator","Magnetization;Perpendicular magnetic anisotropy;Oscillators;Magnetic cores;Magnetic tunneling;Anisotropic magnetoresistance","magnetic anisotropy;magnetic domain walls;magnetic switching;magnetisation;magnetisation reversal;nanomagnetics;nanostructured materials;soft magnetic materials;spin polarised transport;vortices","softer magnets;vortex state;spin-transfer-driven dynamics;magnetic vortices;magnetization dynamics;antivortex-containing nanodot;out-of-plane polarized electric current;astroid-shaped dots;circular dots;soft-magnetic dots;oscillatory dynamics;magnetization reversal;magnetic antivortices;crystalline cubic anisotropy;domain walls","","1","34","Traditional","","","","IEEE","IEEE Journals"
"Frequency-domain adaptive-resolution level-crossing-sampling ADC","H. Wang; F. Schembari; R. B. Staszewski; M. Miśkowicz","University College Dublin, Ireland; University College Dublin, Ireland; University College Dublin, Ireland; AGH University of Science and Technology, Poland","2017 3rd International Conference on Event-Based Control, Communication and Signal Processing (EBCCSP)","","2017","","","1","5","In the framework of the large-scale wireless sensor networks involved in the Internet-of-Things (IoT), analog-to-digital converters (ADCs) must target ever increasing levels of power efficiency and amenability to ultra-scaled CMOS technologies. Digitally intensive architectures and smart conversion algorithms are therefore the fuel of future ultra-low power (ULP) designs. The minimization of the output average bitrate is an effective way to maximize the system energy efficiency. Level-crossing-sampling (LC) ADCs are a class of converters that addresses such problem. In their conventional implementation, however, they are mainly impaired by analog blocks (i.e. the high-performance comparators), difficult to be designed in deep nanoscale CMOS. This paper describes a highly-digital frequency-domain implementation of a LC ADC, which replaces the analog comparators with an oscillator-based quantizer and simple digital logic. LC is performed in the digital frequency-domain, where the application of adaptive-resolution algorithms to further enhance power efficiency becomes straightforward. Behavioral modeling simulations demonstrate the appropriateness of the proposed topology by comparing it with the conventional designs and by evaluating the impact of the oscillator-based-quantizer nonidealities on the ADC performance.","","978-1-5386-0915-6","10.1109/EBCCSP.2017.8022825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8022825","analog-to-digital converter;level-crossing-sampling;adaptive-resolution;VCO-based quantizer;frequency domain","Frequency-domain analysis;Quantization (signal);Radiation detectors;Signal resolution;CMOS technology;Topology;Semiconductor device modeling","analogue-digital conversion;CMOS integrated circuits;comparators (circuits);integrated circuit modelling","frequency-domain adaptive-resolution level-crossing-sampling ADC;analog-to-digital converters;system energy efficiency;analog comparators;oscillator-based quantizer;digital logic;oscillator-based-quantizer nonidealities","","1","15","","","","","IEEE","IEEE Conferences"
"Document analysis at AGH University of Science and Technology","T. Łojewski","AGH University of Science and Technology,Faculty of Material Science and Ceramics,Kraków,Poland,30-060","2018 Metrology for Archaeology and Cultural Heritage (MetroArchaeo)","","2018","","","92","96","The use of modern archeometric techniques requires the use of appropriate equipment. The development of several tools used in the study of historical artifacts and art objects, manuscripts in particular, is the goal of the work presented below. The publication presents new developments for three research methods: nondestructive microfading testing of the objects’ lightfastness, reflectance transformation imaging to visualize texture of the object and multispectral imaging applied to enhance damaged writing.","","978-1-5386-5276-3","10.1109/MetroArchaeo43810.2018.13597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9089744","lightfastness;microfading;Reflectance Transformation Imaging;Polynomial Texture Maps;Multispectral Imaging","Lighting;Image color analysis;Cameras;Lenses;Art;Software","","","","","18","","","","","IEEE","IEEE Conferences"
"An Analysis of Parallel Prefix Adders Regarding the Design of Low-Power Data Oriented Adders","I. Brzozowski","Department of Electronics, AGH University of Science and Technology, Krakow, Poland","2018 International Conference on Signals and Electronic Systems (ICSES)","","2018","","","7","12","The paper presents results of detailed analysis of power dissipated by parallel prefix adders when operating on specific data. Using extended model of CMOS gate power consumption deepened analysis can be done. The model take into consideration changes of input vectors, not only switching activity of signals. In the research several structures of adders have been analyzed with various scenarios of input data. Results show that for different kind of summed data different structures of adders are better considering reduction of power consumption.","2474-2465","978-1-5386-6768-2","10.1109/ICSES.2018.8507292","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8507292","low-power adder;parallel prefix adder;layout design;CMOS technology;circuit activity;power dissipation assessment","Adders;Logic gates;Semiconductor device modeling;Power dissipation;Layout;Capacitance;Integrated circuit modeling","adders;CMOS logic circuits;logic design;low-power electronics","parallel prefix adders;CMOS gate power consumption;low-power data oriented adders","","","10","","","","","IEEE","IEEE Conferences"
"Triggering Research Creativity and Increasing Efficiency Through Open Innovation Platforms","T. Köhler; A. M. J. Skulimowski","TU Dresden, Media Center; AGH University of Science and Technology, Chair of Automatic Control and Biomedical Engineering","2019 8th International Congress on Advanced Applied Informatics (IIAI-AAI)","","2019","","","49","55","Innovation stimulation and creativity support Systems (CSS) have been rapidly gaining importance in research activities. However, the overall outcome is still lagging behind the other areas of creativity studies, even though the strong influence of recent developments in the context of digitization and Web 2.0 has been discussed in scholarly publications. With this paper, the authors intend to link recommendations from an innovative creativity research scenario, which applies open online innovation technology, with previous results regarding creativity stimulation trends in online learning support systems and e-science platforms. This linkage is achieved by applying selected results from the aforementioned areas to the practice of innovative research and learning processes. The corresponding open innovation platform is recently developed as part of a trans-European Horizon 2020 flagship project. General system assessments, derived from user feedback in the presented Delphi survey, might be useful to optimize the research support algorithms. Specifically, authors conclude a platform management to modify their own information seeking behavior and respective information management technology in order to apply the potential of open innovation platforms more effectively. Even though scientists' awareness of the usefulness of Web 2.0 technologies is still insufficient, the base is created to enhance their research output by the creativity-supporting capabilities of new recommendation engines, designed for open learning and innovation platforms.","","978-1-7281-2627-2","10.1109/IIAI-AAI.2019.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8992697","digitization, online creativity, e-science scenarios, global expert systems, open innovation platforms, recommenders","","computer aided instruction;innovation management;Internet;public domain software","innovation technology;creativity stimulation;online learning support systems;e-science platforms;trans-European Horizon 2020 flagship project;information management technology;open innovation platforms;open learning;research creativity;innovation stimulation;Web 2.0 technologies","","","26","","","","","IEEE","IEEE Conferences"
"Experimental Study on the Pressure Distribution Mechanism Among Stages of the Magnetic Fluid Seal","M. Szczęch","Department of Mechanical Engineering and Robotics, AGH University of Science and Technology, Kraków, Poland","IEEE Transactions on Magnetics","","2018","54","6","1","7","One of the main engineering applications of ferrofluids is in magnetic fluid seals, working in rotary motion. An area, which has so far been insufficiently examined, is the mechanism of leaks between seal stages in this type of seal. This is an important issue in order to understand the principle of the seal operation and to properly design this type of seal. This paper presents the results of research into the mechanism of leaks between stages in multi-stage magnetic fluid seals. The tests were conducted when the pressure of the sealing air increased and reached its maximum value. The influence of the magnetic fluid properties, such as saturation magnetization or dynamic viscosity, was taken into account. Studies were performed for different seal temperatures. Experiments allowed models for determining the maximum pressure of the multi-stage seal to be proposed, based on the information about this pressure for a one-stage seal. This paper presents the comparative results of the critical pressure value obtained from experimental studies and calculations based on numerical simulations.","1941-0069","","10.1109/TMAG.2018.2816567","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8335748","Critical pressure;ferrofluid (FF);magnetic fluid seals;numerical simulations;pressure distribution mechanism","Seals;Saturation magnetization;Magnetic liquids;Sensors;Viscosity;Pressure measurement","flow simulation;magnetic fluids;numerical analysis;seals (stoppers)","pressure distribution mechanism;seal stages;seal operation;multistage magnetic fluid seals;sealing air;magnetic fluid properties;saturation magnetization;maximum pressure;one-stage seal;critical pressure value;seal temperatures;ferrofluids;numerical simulation","","2","21","","","","","IEEE","IEEE Journals"
"Reducing Fragmentation on 3D Torus-Based HPC Systems Using Packing-Based Job Scheduling and Job Placement Reconfiguration","K. Li; M. Malawski; J. Nabrzyski","Dept. of Comput. Sci. & Eng., Univ. of Notre Dame, Notre Dame, IN, USA; Dept. of Comput. Sci., AGH Univ. of Sci. & Technol., Krakow, Poland; Dept. of Comput. Sci. & Eng., Univ. of Notre Dame, Notre Dame, IN, USA","2017 16th International Symposium on Parallel and Distributed Computing (ISPDC)","","2017","","","34","43","We address the topology-aware job scheduling and placement problems on 3D torus-based high performance computing systems, with the objective of reducing system fragmentation. In our previous work, we proposed a job placement algorithm based on a local migration process, which aims at reducing the internal fragmentation due to using a convex prism shape for job allocation. However, HPC systems are prone to suffer from external fragmentation as well. Hence, in this paper, we majorly strive to reduce the external fragmentation brought in by the job scheduling and placement processes. Firstly, from the job scheduling aspect of view, we propose a packing-based job scheduling strategy, which reduces the external fragmentation by using the First Come First Served + backfilling strategy. Secondly, we give a review of the migration-based job placement algorithm in our previous work. Thirdly, in order to reduce the external fragmentation resulting from running jobs scattered across the system, we propose a job placement reconfiguration algorithm, which uses a global migration process to rearrange the placement of the running jobs across the system. Both local and global migration are emulated virtual processes under the off-line scenario, which have no migration overhead. However, under the on-line scenario, migration is a real process and leads to a migration delay. Therefore, we propose a buffer-based on-line scheduling model, which helps to avoid the delay of local migration. The evaluation results validate the efficiency of our approach in reducing system fragmentation and improving system utilization.","","978-1-5386-0862-3","10.1109/ISPDC.2017.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8121617","Topology-aware;job placement;off-line;on-line;migration;packing-based job scheduling","Shape;Resource management;Delays;Schedules;Layout;Scheduling;Processor scheduling","parallel processing;resource allocation;scheduling","3D torus;HPC systems;topology-aware job scheduling;high performance computing systems;local migration process;internal fragmentation;job allocation;job placement reconfiguration algorithm;global migration process;on-line scheduling model;HPC","","","10","","","","","IEEE","IEEE Conferences"
